STATE,CLASS,GENDER,AGE,PAID
STATE 14,C6 ,M,97,1134.44
STATE 15,C6 ,M,96,3761.24
STATE 15,C11,M,95,7842.31
STATE 15,F6 ,F,95,2384.67
STATE 15,F6 ,M,95,650
STATE 15,F6 ,M,95,391.12
STATE 15,C11,M,94,3775.83
STATE 10,C6 ,M,94,415.35
STATE 14,C11,M,93,2283.56
STATE 03,C11,M,93,665.48
STATE 02,C6 ,M,93,414
STATE 14,F11,M,93,285.94
STATE 15,F6 ,M,92,3488.99
STATE 14,C6 ,M,92,2428
STATE 15,C6 ,F,92,2049.26
STATE 07,C6 ,F,92,1129.89
STATE 02,C11,F,92,654
STATE 03,C11,M,92,366.28
STATE 14,F6 ,F,92,132.5
STATE 15,C11,M,91,3890.07
STATE 15,C11,M,91,2927.76
STATE 15,C6 ,M,91,2345.71
STATE 15,C11,M,91,984.89
STATE 04,C11,F,91,438.04
STATE 04,C6 ,M,91,295.99
STATE 15,C6 ,M,91,268.5
STATE 02,C11,M,90,11756.34
STATE 03,C6 ,F,90,8693.25
STATE 15,F6 ,M,90,7261.51
STATE 15,C6 ,F,90,5663.66
STATE 02,C11,M,90,3746.15
STATE 01,F6 ,M,90,2607.82
STATE 01,C6 ,F,90,2402
STATE 07,C6 ,F,90,2342.32
STATE 17,C6 ,F,90,2104.31
STATE 15,C11,M,90,1882.33
STATE 15,C6 ,M,90,1418
STATE 01,C6 ,M,90,1400
STATE 15,C6 ,M,90,1103.32
STATE 15,C11,M,90,1092.1
STATE 15,C1 ,M,90,1038.88
STATE 02,C11,M,90,1013.06
STATE 01,C11,M,90,802.91
STATE 04,C11,M,90,656.54
STATE 07,C6 ,F,90,296.97
STATE 15,C6 ,M,90,267.43
STATE 15,C1 ,F,90,249.1
STATE 15,C1 ,F,90,187.79
STATE 17,C6 ,M,89,59113.78
STATE 15,C11,F,89,3681.48
STATE 14,F1 ,M,89,2836.69
STATE 15,C6 ,M,89,2495.7
STATE 04,C11,F,89,2250
STATE 15,C6 ,M,89,1903.21
STATE 03,C11,M,89,1678.27
STATE 15,C6 ,F,89,1553.42
STATE 17,C11,F,89,1157.42
STATE 15,C11,M,89,1074.51
STATE 15,C6 ,M,89,935.26
STATE 17,C11,F,89,915.77
STATE 15,C11,F,89,877.24
STATE 07,C6 ,M,89,854.67
STATE 02,C6 ,M,89,785.25
STATE 06,C6 ,M,89,645.46
STATE 15,C6 ,M,89,580.67
STATE 03,C11,M,89,487.7
STATE 06,C6 ,M,89,479.37
STATE 04,C11,F,89,328.09
STATE 15,C6 ,M,89,275
STATE 04,F6 ,M,89,264.13
STATE 15,C11,M,89,55
STATE 03,C11,M,88,14833.3
STATE 17,C11,F,88,3909.14
STATE 12,C6 ,F,88,3876.6
STATE 15,C6 ,M,88,3845
STATE 15,C6 ,M,88,3106.54
STATE 04,C11,F,88,3025
STATE 15,C6 ,F,88,2750
STATE 06,C6 ,F,88,2612.74
STATE 02,C11,M,88,2057.77
STATE 15,C6 ,M,88,1861.25
STATE 15,C11,M,88,1773.92
STATE 15,C6 ,M,88,1500
STATE 15,F6 ,M,88,1259.89
STATE 17,C6 ,M,88,1250.85
STATE 15,C1 ,F,88,1146.25
STATE 12,C6 ,M,88,1030.83
STATE 04,C1 ,M,88,1008
STATE 15,C6 ,M,88,900
STATE 15,C6 ,F,88,825.2
STATE 15,C11,M,88,824.85
STATE 03,C11,M,88,672.2
STATE 04,C11,M,88,669.5
STATE 15,F6 ,F,88,664.34
STATE 15,C11,M,88,646.08
STATE 17,C6 ,M,88,641.15
STATE 04,C11,M,88,586.43
STATE 15,C11,M,88,581.64
STATE 02,C11,M,88,428.97
STATE 14,C11,M,88,408.39
STATE 02,C6 ,F,87,8594.93
STATE 07,C6 ,M,87,5664.35
STATE 15,C6 ,M,87,4494.59
STATE 06,C1 ,M,87,4330.29
STATE 17,C11,F,87,4235.53
STATE 15,F6 ,M,87,3953.84
STATE 03,C11,M,87,3841.66
STATE 15,C6 ,M,87,3584.5
STATE 02,C11,M,87,3121.37
STATE 15,C6 ,M,87,2730.03
STATE 04,C6 ,F,87,2700.03
STATE 15,C11,M,87,2434.85
STATE 15,F6 ,M,87,1812.46
STATE 15,C11,F,87,1683.52
STATE 15,C6 ,F,87,1665.51
STATE 15,C11,M,87,1414.2
STATE 15,C11,M,87,1250.4
STATE 15,F6 ,M,87,1145.95
STATE 10,C11,M,87,1015.02
STATE 04,C6 ,M,87,897.81
STATE 17,F6 ,M,87,865.9
STATE 15,C6 ,M,87,800.16
STATE 17,C11,M,87,711.34
STATE 15,C6 ,F,87,705
STATE 03,F1 ,M,87,670.34
STATE 15,C11,F,87,580
STATE 15,C6 ,F,87,540.07
STATE 01,C6 ,M,87,532.04
STATE 13,C11,F,87,528.32
STATE 07,C11,M,87,518.55
STATE 03,C11,F,87,470.77
STATE 15,C6 ,F,87,245.82
STATE 17,C6 ,F,87,239.37
STATE 15,C6 ,M,87,206.1
STATE 07,C11,M,87,78.34
STATE 15,C6 ,M,87,30
STATE 15,C6 ,F,86,6384
STATE 04,C6 ,F,86,4623.97
STATE 15,C6 ,M,86,4467.92
STATE 13,C1 ,M,86,3266.49
STATE 04,F6 ,M,86,2798.26
STATE 15,F6 ,M,86,2500
STATE 15,C6 ,M,86,2474.4
STATE 17,C11,F,86,2090.07
STATE 15,C6 ,M,86,2031.61
STATE 10,C11,F,86,1973.82
STATE 15,C6 ,F,86,1892.19
STATE 15,C6 ,M,86,1887.92
STATE 02,C11,M,86,1702.24
STATE 10,C6 ,F,86,1541.1
STATE 15,C6 ,M,86,1354.93
STATE 02,F6 ,F,86,1302.65
STATE 04,F6 ,M,86,1302.13
STATE 02,C11,M,86,1263.51
STATE 15,C6 ,M,86,1092.8
STATE 02,F6 ,F,86,1045
STATE 02,C11,M,86,1008.53
STATE 15,C6 ,M,86,879.3
STATE 04,C11,M,86,811.51
STATE 15,C6 ,F,86,701.52
STATE 02,C11,M,86,625.52
STATE 17,C11,M,86,557.18
STATE 15,F6 ,M,86,519.75
STATE 02,F6 ,F,86,499.59
STATE 02,C1 ,M,86,499.28
STATE 15,F11,M,86,484.03
STATE 15,F6 ,F,86,435
STATE 02,F11,M,86,402.32
STATE 17,F6 ,F,86,376
STATE 15,C6 ,F,86,365.26
STATE 15,C6 ,F,86,357
STATE 03,C6 ,M,86,351.38
STATE 14,C6 ,M,86,333.37
STATE 04,F6 ,M,86,329.16
STATE 17,C6 ,F,86,322.34
STATE 03,C11,F,86,318.07
STATE 15,C6 ,F,86,239.4
STATE 14,C11,M,86,196.1
STATE 01,C6 ,M,86,122.41
STATE 15,C6 ,F,86,71.19
STATE 15,C6 ,F,85,12234.82
STATE 17,C11,M,85,10829.25
STATE 14,C6 ,F,85,10630.81
STATE 01,C11,M,85,10524.64
STATE 15,F6 ,M,85,7238.13
STATE 15,C11,M,85,7186.92
STATE 17,C6 ,M,85,6854.02
STATE 15,C11,M,85,6710.3
STATE 06,C11,F,85,6130.31
STATE 12,C6 ,F,85,4338.29
STATE 02,C6 ,F,85,4277.12
STATE 15,C6 ,F,85,3783.74
STATE 06,C6 ,F,85,3735.9
STATE 15,F6 ,M,85,3610.27
STATE 15,F6 ,M,85,3549.95
STATE 15,C11,M,85,3425.62
STATE 02,F6 ,F,85,3376.9
STATE 12,C6 ,M,85,3206.76
STATE 15,C6 ,F,85,2788.24
STATE 15,C6 ,M,85,2764.49
STATE 02,C6 ,M,85,2724.04
STATE 15,C6 ,M,85,2334.58
STATE 15,F6 ,M,85,2300
STATE 15,C11,F,85,2269
STATE 04,C6 ,F,85,2249.45
STATE 04,C11,M,85,2169.88
STATE 02,C11,M,85,2015.32
STATE 15,C6 ,M,85,1929.81
STATE 17,F6 ,F,85,1924.69
STATE 15,C6 ,M,85,1638.49
STATE 15,C11,M,85,1209.52
STATE 02,C11,F,85,1200
STATE 14,C11,M,85,1134.63
STATE 15,C11,F,85,1061.8
STATE 04,C11,M,85,1056.18
STATE 04,C6 ,M,85,1006.41
STATE 15,F6 ,M,85,989.28
STATE 15,F6 ,M,85,970.31
STATE 17,C11,F,85,945.8
STATE 02,C11,M,85,899.13
STATE 04,C11,F,85,892.6
STATE 15,C6 ,F,85,865.12
STATE 06,C11,M,85,782.2
STATE 04,F6 ,M,85,774.68
STATE 03,C11,F,85,742.91
STATE 06,C1 ,M,85,683.57
STATE 04,C1 ,F,85,666.33
STATE 02,C6 ,F,85,649.74
STATE 02,C6 ,M,85,628.19
STATE 17,C11,F,85,503.78
STATE 02,C6 ,M,85,498.74
STATE 04,C11,M,85,444.39
STATE 03,C11,F,85,405.39
STATE 15,C1 ,F,85,382.33
STATE 07,C6 ,M,85,304.22
STATE 01,F6 ,M,85,274.8
STATE 03,C11,F,85,248.49
STATE 15,C6 ,F,85,195.3
STATE 02,C6 ,M,85,193.23
STATE 15,F6 ,F,85,187.72
STATE 15,C6 ,F,85,179.55
STATE 15,C6 ,F,85,135.67
STATE 02,C6 ,M,85,101.16
STATE 15,C6 ,F,85,86.43
STATE 03,C1 ,M,84,14639.15
STATE 12,C1 ,F,84,11010.46
STATE 07,C1B,M,84,10174.4
STATE 06,F6 ,M,84,9475.74
STATE 07,C11,F,84,9437.95
STATE 15,C11,M,84,8124.98
STATE 04,C11,F,84,7833.52
STATE 06,C11,M,84,7610
STATE 17,C11,M,84,7326.67
STATE 17,F6 ,M,84,6986.85
STATE 15,C6 ,M,84,6746.98
STATE 02,C6 ,M,84,5301.72
STATE 15,C6 ,M,84,4831.97
STATE 10,C6 ,F,84,4476.68
STATE 15,C11,M,84,4076.88
STATE 06,C6 ,M,84,3740.21
STATE 02,C11,M,84,3596.5
STATE 15,C6 ,M,84,3043
STATE 04,C11,M,84,2606.03
STATE 02,C1 ,M,84,2589.5
STATE 17,C6 ,F,84,2528.13
STATE 03,F6 ,M,84,2501.97
STATE 15,C11,M,84,2322.72
STATE 15,C1 ,M,84,2133.62
STATE 04,C11,M,84,1944.45
STATE 06,C11,M,84,1879.54
STATE 12,C1 ,F,84,1522.65
STATE 14,C6 ,F,84,1491.69
STATE 10,C6 ,F,84,1485.52
STATE 12,C6 ,F,84,1472.05
STATE 01,F6 ,M,84,1314.4
STATE 15,F6 ,F,84,1223.3
STATE 15,C6 ,M,84,1106.86
STATE 04,C11,M,84,1032.14
STATE 04,C11,F,84,1015.62
STATE 15,C11,F,84,953.72
STATE 02,C11,F,84,937.96
STATE 07,C11,M,84,906.62
STATE 17,C6 ,M,84,836.78
STATE 02,C6 ,M,84,820.64
STATE 01,C6 ,M,84,774.87
STATE 10,C6 ,F,84,696.57
STATE 10,C6 ,F,84,687.56
STATE 02,C11,F,84,685.88
STATE 15,C6 ,M,84,581.7
STATE 15,C6 ,M,84,570.89
STATE 15,C1 ,F,84,548.94
STATE 04,F6 ,M,84,522.75
STATE 04,C11,M,84,517.97
STATE 03,C11,M,84,504.46
STATE 14,C1 ,M,84,491.4
STATE 15,C11,M,84,479
STATE 15,C6 ,F,84,462.17
STATE 01,C6 ,M,84,451.53
STATE 07,C1B,M,84,426.19
STATE 02,F6 ,M,84,403.61
STATE 15,C6 ,F,84,398.95
STATE 15,C6 ,F,84,393
STATE 02,C11,M,84,368.32
STATE 02,C6 ,F,84,363.75
STATE 15,C6 ,M,84,359.44
STATE 02,C11,M,84,356.07
STATE 12,C6 ,M,84,343.25
STATE 15,C11,M,84,340.03
STATE 15,C11,M,84,339.51
STATE 04,C11,M,84,305.69
STATE 04,C11,F,84,288.3
STATE 14,C6 ,F,84,266.8
STATE 13,C6 ,M,84,224.6
STATE 02,C6 ,F,84,186.97
STATE 06,C6 ,M,84,143.7
STATE 10,F6 ,F,84,125
STATE 04,C6 ,M,83,12124.64
STATE 15,C1 ,M,83,11051.5
STATE 04,C11,F,83,11043.09
STATE 12,C6 ,M,83,8324.07
STATE 02,C11,M,83,7885.15
STATE 15,F11,F,83,7834.57
STATE 17,C11,M,83,7415.03
STATE 15,C11,M,83,6180.88
STATE 15,C11,F,83,4369.38
STATE 15,C1 ,F,83,3992.63
STATE 15,C11,F,83,3651.67
STATE 15,C6 ,F,83,3634.26
STATE 03,C11,F,83,3599.2
STATE 15,C6 ,M,83,3505.61
STATE 03,C11,M,83,3112.89
STATE 15,C6 ,M,83,3092.83
STATE 12,C1B,F,83,2683.16
STATE 15,C11,F,83,2606
STATE 15,C6 ,M,83,2520
STATE 02,C11,M,83,2500
STATE 15,C6 ,M,83,2460.3
STATE 04,C11,M,83,2253.16
STATE 15,C6 ,F,83,2229.05
STATE 15,C11,F,83,2130.6
STATE 04,F6 ,M,83,2049
STATE 15,C6 ,M,83,1994.56
STATE 15,C11,M,83,1921.22
STATE 15,C6 ,M,83,1701.82
STATE 15,C1 ,M,83,1472.87
STATE 15,C11,M,83,1468.48
STATE 15,C11,M,83,1444.89
STATE 07,C6 ,M,83,1392.52
STATE 17,C11,F,83,1368.76
STATE 17,C6 ,M,83,1346.36
STATE 17,C11,F,83,1335.27
STATE 15,C1 ,F,83,1304.64
STATE 04,F11,M,83,1275
STATE 17,C11,F,83,1264.87
STATE 15,C6 ,F,83,1231.08
STATE 13,C11,M,83,1073.61
STATE 06,C6 ,M,83,1028.87
STATE 15,C6 ,F,83,997.05
STATE 15,C1 ,M,83,944.7
STATE 15,C6 ,F,83,910.68
STATE 03,C11,M,83,904.68
STATE 15,C6 ,F,83,872.18
STATE 15,C6 ,M,83,868.69
STATE 17,C11,M,83,801.39
STATE 15,C11,M,83,772.23
STATE 12,C6 ,M,83,764.1
STATE 15,C6 ,M,83,730.53
STATE 15,C11,M,83,714.55
STATE 01,F6 ,M,83,708.92
STATE 04,C11,M,83,701.82
STATE 15,C6 ,M,83,688.67
STATE 15,C11,M,83,685.59
STATE 02,F6 ,M,83,640.86
STATE 15,C6 ,M,83,596
